,CrashId,Fatal Case Status,lat,lon,DOT Case Number,Date Of Crash,Time of Crash,Crash Severity,Crash Severity Text Format,Most Severe Injury,Most Severe Injury Text Format,Number Of Motor Vehicles,Route Class Text Format,Milemarker,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,Distance From Nearest Landmark,Unit Of Measure From Nearest Landmark,Direction From Nearest Landmark,Weather Condition,Weather Condition Text Format,Light Condition,Light Condition Text Format,Road Surface Condition,Road Surface Condition Text Format,Average Daily Traffic,Trafficway Class Text Format,full_date
1512,800797,1,41.354441,-72.929421,3304890,3/26/21,20:13:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,6.16,10,CT-10,10-N,CUMLEY ST,,,,,1,Clear,4,Dark-Lighted,1,Dry,22600,"Trafficway, On Road",3/26/21 20:13
1513,800798,1,41.352339,-72.930802,3304891,3/26/21,22:15:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.18,10,CT-10,10-N,,Concord Street,30,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,22600,"Trafficway, On Road",3/26/21 22:15
7589,798661,1,41.336758,-72.924527,3302758,3/27/21,8:38:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.56,370,MORSE ST,MORSE ST,,Winchester Ave,20,Feet,E,99,Unknown,99,Unknown,99,Unknown,,"Trafficway, On Road",3/27/21 8:38
984,798423,1,41.408716,-72.900145,3302520,3/27/21,10:53:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,10.81,10,CT-10,10-N,,Evergreen Avenue,400,Feet,S,1,Clear,1,Daylight,1,Dry,25200,"Trafficway, On Road",3/27/21 10:53
2279,798911,1,41.388733,-72.899799,3303007,3/27/21,11:30:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,9.37,10,CT-10,10-N,,Lincoln Street,170,Feet,N,1,Clear,1,Daylight,1,Dry,16800,"Trafficway, On Road",3/27/21 11:30
985,798424,1,41.406219,-72.899259,3302521,3/27/21,13:00:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,10.63,10,CT-10,10-N,,home place,55,Feet,S,1,Clear,1,Daylight,1,Dry,25200,"Trafficway, On Road",3/27/21 13:00
2319,798442,1,41.387159,-72.900505,3302539,3/27/21,18:13:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,9.05,10,CT-10,10-N,DAY SPRING AV,,,,,1,Clear,1,Daylight,1,Dry,16500,"Trafficway, On Road",3/27/21 18:13
458,800799,1,41.360929,-72.924754,3304892,3/27/21,23:11:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.67,10,CT-10,10-N,MAPLEWOOD TER NO 2,,,,E,1,Clear,4,Dark-Lighted,1,Dry,27700,"Trafficway, On Road",3/27/21 23:11
2023,798443,1,41.3819,-72.91113,3302540,3/28/21,19:31:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,8.49,10,CT-10,10-N,,WESTMINISTER ST.,70,Feet,N,97,Other,4,Dark-Lighted,2,Wet,18300,"Trafficway, On Road",3/28/21 19:31
3752,802381,1,41.381461,-72.899826,3306474,3/28/21,20:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.87,15,15-S,15-S,,Exit 61,5,Feet,N,4,Rain,5,Dark-Not Lighted,2,Wet,72300,"Trafficway, On Road",3/28/21 20:42
2024,798912,1,41.3818,-72.9121,3303008,3/29/21,5:29:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),1,State,8.45,10,CT-10,10-N,,Sanford Street ,200,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,18300,"Trafficway, Not on Road",3/29/21 5:29
1858,798663,1,41.344282,-72.93435,3302760,3/29/21,9:54:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.59,10,CT-10,10-N,,WOODIN ST,50,Feet,S,1,Clear,1,Daylight,1,Dry,21100,"Trafficway, On Road",3/29/21 9:54
5323,798914,1,41.362307,-72.909091,3303010,3/30/21,13:02:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,2.12,707,WHITNEY AV,707-N,WOODLAWN ST,,,,,1,Clear,1,Daylight,1,Dry,11700,"Trafficway, On Road",3/30/21 13:02
2102,798915,1,41.427958,-72.906186,3303011,3/30/21,14:31:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,12.16,10,CT-10,10-N,,TUTTLE AVE,200,Feet,S,1,Clear,1,Daylight,1,Dry,17500,"Trafficway, On Road",3/30/21 14:31
8720,800800,1,41.37372,-72.91366,3304893,3/30/21,16:02:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.42,494,SKIFF ST,SKIFF ST,,Dixwell Ave.,648,Feet,E,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",3/30/21 16:02
6472,800801,1,41.338019,-72.935136,3304894,3/31/21,17:26:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.19,142,DIXWELL AV,DIXWELL AV NO 1,,Morse St.,75,Feet,S,4,Rain,1,Daylight,2,Wet,,"Trafficway, On Road",3/31/21 17:26
4692,807382,1,41.334733,-72.90047,3310478,3/31/21,19:31:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,USRoute,1.51,5,US-5,5-N,,MERRITT ST.,10,Feet,N,4,Rain,4,Dark-Lighted,2,Wet,14400,"Trafficway, On Road",3/31/21 19:31
3424,804643,1,41.365294,-72.92182099,3308736,3/31/21,21:22:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.02,15,15-N,15-N-221,,Dixwell Ave,50,Feet,N,4,Rain,5,Dark-Not Lighted,2,Wet,9700,"Trafficway, On Road",3/31/21 21:22
5591,800802,1,41.374487,-72.915926,3304895,4/1/21,1:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.17,753,CT-10,753-S,SKIFF ST,,,,,4,Rain,4,Dark-Lighted,2,Wet,15700,"Trafficway, On Road",4/1/21 1:42
3183,802427,1,41.372117,-72.911938,3306520,4/1/21,9:53:00,O,Property Damage Only,O,No Apparent Injury (O),3,State,50.93,15,15-N,15-N,,Exit 60,9,TenthsofMile,N,2,Cloudy,1,Daylight,2,Wet,72600,"Trafficway, On Road",4/1/21 9:53
119,807323,1,41.367292,-72.920663,3310419,4/1/21,13:26:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),3,State,7.14,10,CT-10,10-N,CONNOLLY PKWY,Connolly pkwy,24,Feet,N,1,Clear,1,Daylight,1,Dry,38300,"Trafficway, On Road",4/1/21 13:26
987,800803,1,41.41389,-72.902091,3304896,4/1/21,14:29:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,11.17,10,CT-10,10-N,,Sherman Ave Ext,25,Feet,N,1,Clear,1,Daylight,1,Dry,25200,"Trafficway, On Road",4/1/21 14:29
2104,800804,1,41.442667,-72.910794,3304897,4/1/21,15:28:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,13.03,10,CT-10,10-N,BROOKSVALE AV,,,,,1,Clear,1,Daylight,1,Dry,17500,"Trafficway, On Road",4/1/21 15:28
7494,804250,1,41.376453,-72.920222,3308343,4/1/21,21:09:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.96,366,MIX AV,MIX AV,SKIFF ST EXT,,,,,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",4/1/21 21:09
6368,800806,1,41.386551,-72.898516,3304899,4/1/21,23:58:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.11,130,DAY SPRING AV,DAY SPRING AV,,Washington Avenue,80,Feet,W,1,Clear,5,Dark-Not Lighted,1,Dry,,"Trafficway, On Road",4/1/21 23:58
9314,804274,1,41.34556,-72.94073,3308367,4/2/21,11:46:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,Local,1.36,598,WOODIN ST,WOODIN ST,FAIRVIEW AV,,,,,2,Cloudy,1,Daylight,1,Dry,,"Trafficway, On Road",4/2/21 11:46
4668,800807,1,41.3295,-72.8984,3304900,4/2/21,14:30:00,O,Property Damage Only,O,No Apparent Injury (O),2,USRoute,1.11,5,US-5,5-N,,PARK RD,90,Feet,S,2,Cloudy,1,Daylight,1,Dry,17400,"Trafficway, On Road",4/2/21 14:30
8721,800808,1,41.372337,-72.909835,3304901,4/2/21,17:04:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.2,494,SKIFF ST,SKIFF ST,,Whitney Ave.,300,Feet,E,2,Cloudy,1,Daylight,1,Dry,,"Trafficway, On Road",4/2/21 17:04
7109,800809,1,41.34151,-72.907549,3304902,4/2/21,19:09:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.2,242,HARTFORD TPK,HARTFORD TPK,,Davis Street,25,TenthsofMile,N,1,Clear,3,Dusk,1,Dry,,"Trafficway, On Road",4/2/21 19:09
7312,800810,1,41.34957,-72.92125,3304903,4/2/21,22:47:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.66,317,LEEDER HILL DR,LEEDER HILL DR,,Treadwell St,1265,Feet,E,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",4/2/21 22:47
5876,800811,1,41.3661,-72.93751,3304904,4/2/21,23:28:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.75,42,BENHAM ST,BENHAM ST,,Circular Avenue,190,Feet,W,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",4/2/21 23:28
4889,800812,1,41.346718,-72.91269,3304905,4/3/21,8:49:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.99,707,WHITNEY AV,707-N,RALSTON AV,,,,,1,Clear,1,Daylight,1,Dry,17000,"Trafficway, On Road",4/3/21 8:49
4969,804260,1,41.380252,-72.903058,3308353,4/3/21,13:41:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,3.4,707,WHITNEY AV,707-N,,Worth Avenue,100,Feet,S,1,Clear,1,Daylight,1,Dry,16800,"Trafficway, On Road",4/3/21 13:41
5592,800813,1,41.375192,-72.915968,3304906,4/3/21,15:53:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.13,753,CT-10,753-S,,Mix Ave,1,TenthsofMile,S,1,Clear,1,Daylight,1,Dry,15700,"Trafficway, On Road",4/3/21 15:53
7989,800814,1,41.337243,-72.919288,3304907,4/3/21,20:48:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.07,438,PROSPECT ST,PROSPECT ST,BRYDEN TER,,,,,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",4/3/21 20:48
4691,800815,1,41.33338,-72.90056,3304908,4/4/21,5:02:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),1,USRoute,1.41,5,US-5,5-N,,cook Street,190,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,14400,"Trafficway, On Road",4/4/21 5:02
6204,804275,1,41.348714,-72.934708,3308368,4/4/21,13:10:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1.22,99,CIRCULAR AV,CIRCULAR AV,BRADLEY AV,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/4/21 13:10
1861,800816,1,41.342424,-72.934807,3304909,4/4/21,18:51:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.29,10,CT-10,10-N,HAMDEN PARK DR,,,,,1,Clear,1,Daylight,1,Dry,21100,"Trafficway, On Road",4/4/21 18:51
6105,800817,1,41.354011,-72.934205,3304910,4/4/21,19:10:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.21,97,CHURCH ST,CHURCH ST,,Dante Pl,50,Feet,E,1,Clear,3,Dusk,1,Dry,,"Trafficway, On Road",4/4/21 19:10
988,800818,1,41.4054,-72.8994,3304911,4/5/21,5:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,10.57,10,CT-10,10-N,,Woodruff Street,200,Feet,N,1,Clear,1,Daylight,1,Dry,25200,"Trafficway, On Road",4/5/21 5:42
3243,802717,1,41.379046,-72.903456,3306810,4/5/21,17:14:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.6,15,15-N,15-N,,Exit 61,5,Feet,S,1,Clear,1,Daylight,1,Dry,70900,"Trafficway, On Road",4/5/21 17:14
3738,802723,1,41.378026,-72.905342,3306816,4/6/21,9:36:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,51.45,15,15-S,15-S,,Exit 61,390,TenthsofMile,S,1,Clear,1,Daylight,1,Dry,72600,"Trafficway, On Road",4/6/21 9:36
3737,802488,1,41.366345,-72.918782,3306581,4/6/21,10:28:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,50.4,15,15-S,15-S,,exit 60,2,TenthsofMile,N,1,Clear,1,Daylight,1,Dry,72600,"Trafficway, On Road",4/6/21 10:28
6828,800820,1,41.440188,-72.943483,3304913,4/6/21,11:04:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1.2,208,GAYLORD MOUNTAIN RD,GAYLORD MOUNTAIN RD,,DEER HILL RD,50,Feet,S,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/6/21 11:04
5056,800821,1,41.346024,-72.912455,3304914,4/6/21,14:47:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,State,0.94,707,WHITNEY AV,707-N,PUTNAM AV,,,,,1,Clear,1,Daylight,1,Dry,14300,"Trafficway, On Road",4/6/21 14:47
9034,800822,1,41.383396,-72.899101,3304915,4/6/21,15:06:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.02,554,WASHINGTON AV,WASHINGTON AV,,DIXWELL AVENUE,80,Feet,N,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/6/21 15:06
3184,802732,1,41.374927,-72.908987,3306825,4/6/21,15:25:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.18,15,15-N,15-N,,Exit 61,5,Feet,S,1,Clear,1,Daylight,1,Dry,72600,"Trafficway, On Road",4/6/21 15:25
7492,800823,1,41.364711,-72.929052,3304916,4/6/21,18:45:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.02,366,MIX AV,MIX AV,,BENHAM ST,100,Feet,N,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/6/21 18:45
5057,800824,1,41.346024,-72.912455,3304917,4/7/21,15:38:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.94,707,WHITNEY AV,707-N,,,,,,1,Clear,1,Daylight,1,Dry,14300,"Trafficway, On Road",4/7/21 15:38
8206,800825,1,41.358787,-72.900572,3304918,4/7/21,15:46:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1.68,452,RIDGE RD,RIDGE RD,HAVERFORD ST,,,,,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/7/21 15:46
7590,800826,1,41.337106,-72.926969,3304919,4/8/21,8:54:00,A,"Injury of any type (Serious, Minor, Possible)",B,Suspected Minor Injury (B),2,Local,0.43,370,MORSE ST,MORSE ST,,NEWHALL ST,125,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/8/21 8:54
6691,800827,1,41.340923,-72.941444,3304920,4/8/21,14:10:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.19,176,FAIRVIEW AV,FAIRVIEW AV,,Mott St.,75,Feet,S,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/8/21 14:10
4968,800828,1,41.380641,-72.902881,3304921,4/8/21,14:35:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,3.43,707,WHITNEY AV,707-N,WORTH AV,,,,,1,Clear,1,Daylight,1,Dry,16800,"Trafficway, On Road",4/8/21 14:35
8533,923236,1,41.411309,-72.921994,921078,4/8/21,15:23:00,K,Fatal (Kill),K,Fatal Injury (K),1,Local,2.53,489,SHEPARD AV,SHEPARD AV,,Gate Way,230,Feet,S,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/8/21 15:23
4205,804388,1,41.378238,-72.905295,3308481,4/8/21,16:01:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.17,15,15-S,15-S-122,,RT 15,15,Feet,N,1,Clear,1,Daylight,1,Dry,9700,"Trafficway, On Road",4/8/21 16:01
1863,800830,1,41.342987,-72.934697,3304923,4/8/21,16:17:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.51,10,CT-10,10-N,,SECOND ST.,55,Feet,S,1,Clear,1,Daylight,1,Dry,21100,"Trafficway, On Road",4/8/21 16:17
8102,800831,1,41.34557,-72.9155,3304924,4/8/21,16:30:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.16,439,PUTNAM AV,PUTNAM AV,,CARLETON ST,70,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/8/21 16:30
6950,804296,1,41.335368,-72.930436,3308389,4/9/21,13:42:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.55,222,GOODRICH ST,GOODRICH ST,,SHELTON AVE,50,Feet,W,2,Cloudy,1,Daylight,1,Dry,,"Trafficway, On Road",4/9/21 13:42
1056,800832,1,41.34857,-72.9328,3304925,4/9/21,15:24:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.71,10,CT-10,10-N,SCOTT ST,,,,N,1,Clear,1,Daylight,1,Dry,24700,"Trafficway, On Road",4/9/21 15:24
9059,804297,1,41.33673,-72.93864,3308390,4/9/21,16:19:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.06,564,WEST EASTON ST,WEST EASTON ST,,Bowen St,189,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/9/21 16:19
8326,800833,1,41.352883,-72.891902,3304926,4/9/21,17:14:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.41,483,SEBEC ST,SEBEC ST,,STATE ST,55,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/9/21 17:14
7005,804298,1,41.34849,-72.93709,3308391,4/10/21,12:14:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.38,226,GORHAM AV,GORHAM AV,,Circular Avenue,765,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/10/21 12:14
2320,800834,1,41.383704,-72.901848,3304927,4/10/21,14:15:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,9,10,CT-10,10-N,,Dixwell Ave,90,Feet,N,1,Clear,1,Daylight,1,Dry,16500,"Trafficway, On Road",4/10/21 14:15
2561,800835,1,41.338106,-72.935063,3304928,4/10/21,14:45:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5,10,CT-10,10-N,DIXWELL AV NO 1,,,,,1,Clear,1,Daylight,1,Dry,11200,"Trafficway, On Road",4/10/21 14:45
989,800836,1,41.414127,-72.90208,3304929,4/10/21,15:06:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,11.19,10,CT-10,10-N,,Sherman Ave,85,Feet,S,1,Clear,1,Daylight,1,Dry,25200,"Trafficway, On Road",4/10/21 15:06
3739,803081,1,41.366349,-72.918786,3307174,4/10/21,18:54:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,50.4,15,15-S,15-S,,exit 60,1,TenthsofMile,N,1,Clear,1,Daylight,1,Dry,72600,"Trafficway, On Road",4/10/21 18:54
8920,817365,1,41.352278,-72.921946,3320461,4/10/21,22:35:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),1,Local,0.43,527,TREADWELL ST,TREADWELL ST,MARTIN TER,Martin Terrace,25,Feet,W,1,Clear,4,Dark-Lighted,1,Dry,,"Trafficway, On Road",4/10/21 22:35
5277,817952,1,41.353457,-72.913105,3321048,4/10/21,22:56:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,1.43,707,WHITNEY AV,707-N,SERVOSS ST,Servoss St.,100,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,11800,"Trafficway, On Road",4/10/21 22:56
5970,800838,1,41.335751,-72.937844,3304931,4/11/21,21:23:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.01,52,BOWEN ST,BOWEN ST,CHERRY ANN ST,,,,,4,Rain,4,Dark-Lighted,2,Wet,,"Trafficway, On Road",4/11/21 21:23
7947,804299,1,41.337403,-72.946554,3308392,4/11/21,22:03:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.07,664,PINE ROCK AV,PINE ROCK AV NO 2,,Arch St.,2.5,TenthsofMile,S,2,Cloudy,4,Dark-Lighted,2,Wet,,"Trafficway, On Road",4/11/21 22:03
7035,817366,1,41.341508,-72.914746,3320462,4/12/21,7:59:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.09,234,HALL ST,HALL ST,,Caroline Street,50,Feet,S,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/12/21 7:59
7493,800839,1,41.37809857,-72.91894814,3304932,4/12/21,14:55:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,1.09,366,MIX AV,MIX AV,,SKIFF ST,1,TenthsofMile,N,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/12/21 14:55
8493,801012,1,41.382033,-72.91981,3305105,4/12/21,16:02:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.45,489,SHEPARD AV,SHEPARD AV,,SANFORD ST,75,Feet,S,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/12/21 16:02
1515,806117,1,41.352087,-72.930835,3309213,4/12/21,21:07:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.16,10,CT-10,10-N,,Oregon Ave.,10,Feet,N,1,Clear,4,Dark-Lighted,1,Dry,22600,"Trafficway, On Road",4/12/21 21:07
6692,804821,1,41.344722,-72.940916,3308914,4/13/21,13:01:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.45,176,FAIRVIEW AV,FAIRVIEW AV,,Woodin St,300,Feet,E,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/13/21 13:01
1516,807888,1,41.35398,-72.9297,3310984,4/13/21,14:26:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),3,State,6.13,10,CT-10,10-N,TREADWELL ST,,,,,1,Clear,1,Daylight,1,Dry,22600,"Trafficway, On Road",4/13/21 14:26
8722,806138,1,41.372066,-72.908615,3309234,4/13/21,14:29:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.14,494,SKIFF ST,SKIFF ST,,Whitney Avenue,787,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/13/21 14:29
1599,804822,1,41.347862,-72.933086,3308915,4/13/21,21:41:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,5.85,10,CT-10,10-N,,SCOTT ST.,257,Feet,E,1,Clear,4,Dark-Lighted,1,Dry,22400,"Trafficway, On Road",4/13/21 21:41
362,804300,1,41.362212,-72.924036,3308393,4/14/21,14:46:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.95,10,CT-10,10-N,,BENHAM ST,150,Feet,S,1,Clear,1,Daylight,1,Dry,31800,"Trafficway, On Road",4/14/21 14:46
4544,804301,1,41.403496,-72.895602,3308394,4/14/21,15:02:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.14,22,CT-22,22-E,NEW RD,,,,,1,Clear,1,Daylight,1,Dry,5600,"Trafficway, On Road",4/14/21 15:02
990,801013,1,41.406352,-72.899249,3305106,4/14/21,17:22:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,10.64,10,CT-10,10-N,,Woodruff St,75,Feet,N,1,Clear,1,Daylight,1,Dry,25200,"Trafficway, On Road",4/14/21 17:22
991,804302,1,41.406352,-72.899249,3308395,4/14/21,17:22:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,10.64,10,CT-10,10-N,,Woodruff St,100,Feet,N,1,Clear,1,Daylight,1,Dry,25200,"Trafficway, On Road",4/14/21 17:22
4224,803672,1,41.379398,-72.903735,3307765,4/15/21,7:16:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.16,15,15-S,15-S-123,,Exit 61,1,TenthsofMile,S,4,Rain,1,Daylight,2,Wet,9700,"Trafficway, On Road",4/15/21 7:16
992,804823,1,41.40984,-72.90059,3308916,4/15/21,7:58:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,10.7,10,CT-10,10-N,EVERGREEN AV,,,,,4,Rain,1,Daylight,2,Wet,25200,"Trafficway, On Road",4/15/21 7:58
8208,807889,1,41.3537,-72.90283,3310985,4/15/21,11:22:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,1.31,452,RIDGE RD,RIDGE RD,,WAITE ST,71,Feet,N,4,Rain,1,Daylight,2,Wet,,"Trafficway, On Road",4/15/21 11:22
1710,806118,1,41.36772,-72.920237,3309214,4/15/21,14:01:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,7.37,10,CT-10,10-N,,Connonlly Parkway,260,Feet,N,4,Rain,1,Daylight,2,Wet,22000,"Trafficway, On Road",4/15/21 14:01
8207,804851,1,41.33579,-72.900426,3308944,4/15/21,15:36:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.02,452,RIDGE RD,RIDGE RD,,STATE ST,95,Feet,W,4,Rain,1,Daylight,2,Wet,,"Trafficway, On Road",4/15/21 15:36
4204,803133,1,41.378257,-72.905296,3307226,4/15/21,16:16:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.17,15,15-S,15-S-122,,15-S,50,Feet,N,4,Rain,1,Daylight,2,Wet,9700,"Trafficway, On Road",4/15/21 16:16
7329,806119,1,41.39289,-72.89832,3309215,4/15/21,17:03:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.21,325,LINDEN AV,LINDEN AV,FOREST ST,,,,,4,Rain,1,Daylight,2,Wet,,"Trafficway, On Road",4/15/21 17:03
7162,806120,1,41.347444,-72.937657,3309216,4/16/21,2:39:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.19,251,HELEN ST,HELEN ST,,Alenier Street,45,Feet,W,4,Rain,4,Dark-Lighted,2,Wet,,"Trafficway, On Road",4/16/21 2:39
9228,806121,1,41.357118,-72.950799,3309217,4/16/21,6:24:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0.36,594,WINTERGREEN AV,WINTERGREEN AV,,Joseph Lane,50,Feet,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/16/21 6:24
6951,809149,1,41.334913,-72.924831,3312245,4/16/21,10:03:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0.26,222,GOODRICH ST,GOODRICH ST,WINCHESTER AV,,,,,2,Cloudy,1,Daylight,1,Dry,,"Trafficway, On Road",4/16/21 10:03
3744,818388,1,41.37796,-72.905377,3321484,4/16/21,11:17:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.45,15,15-S,15-S,EXIT 61,,,,,4,Rain,1,Daylight,2,Wet,72600,"Trafficway, On Road",4/16/21 11:17
2280,804303,1,41.388291,-72.900004,3308396,4/16/21,12:46:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,9.16,10,CT-10,10-N,LINCOLN ST,,,,,4,Rain,1,Daylight,2,Wet,16800,"Trafficway, On Road",4/16/21 12:46
7769,809128,1,41.3832,-72.9036,3312224,4/16/21,13:01:00,O,Property Damage Only,O,No Apparent Injury (O),2,Local,0,143,OLD DIXWELL AV,OLD DIXWELL AV,,WHITNEY AVENUE,1,TenthsofMile,W,1,Clear,1,Daylight,1,Dry,,"Trafficway, On Road",4/16/21 13:01
1514,804857,1,41.353659,-72.930021,3308950,4/16/21,15:03:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,6.28,10,CT-10,10-N,,MILLIS ST,20,Feet,S,1,Clear,1,Daylight,1,Dry,22600,"Trafficway, On Road",4/16/21 15:03
